service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:1,1,1,0,1,1,0,0,20220307,20220329
IDFM:10,1,1,1,1,1,0,0,20220307,20220330
IDFM:100,0,1,1,1,1,0,0,20220301,20220304
IDFM:121,1,1,0,1,0,0,0,20220307,20220329
IDFM:10000,0,0,0,0,0,1,0,20220305,20220326
IDFM:10001,1,1,1,1,1,0,0,20220301,20220330
IDFM:10338,1,1,1,1,1,1,0,20220301,20220330
IDFM:10605,0,0,0,0,0,1,1,20220305,20220327
IDFM:11161,0,0,1,0,0,0,0,20220301,20220330
IDFM:11469,0,0,1,0,0,1,0,20220302,20220330
IDFM:11509,0,0,1,0,0,1,0,20220309,20220330
IDFM:11515,0,0,1,0,0,0,0,20220309,20220330
IDFM:11516,1,1,1,1,1,1,0,20220307,20220330
IDFM:11867,1,1,1,1,1,0,1,20220301,20220330
IDFM:12190,0,0,0,0,1,0,0,20220304,20220325
IDFM:12855,1,0,1,1,0,0,0,20220302,20220330
IDFM:12856,0,1,0,0,1,0,0,20220301,20220329
IDFM:12883,1,0,1,1,0,1,0,20220302,20220330
IDFM:13273,1,1,0,1,1,0,0,20220301,20220329
IDFM:15458,1,1,1,1,1,1,0,20220301,20220330
IDFM:16609,0,0,0,0,0,1,1,20220305,20220306
IDFM:17837,0,0,1,1,1,0,0,20220302,20220304
IDFM:18406,0,0,1,0,0,1,0,20220302,20220305
IDFM:22060,1,1,1,1,1,0,0,20220308,20220330
IDFM:23910,1,1,1,1,1,1,1,20220301,20220330
IDFM:26695,0,0,0,0,0,1,1,20220312,20220327
IDFM:26722,1,1,1,1,1,1,1,20220307,20220330
IDFM:26739,1,1,1,1,1,0,1,20220307,20220330
IDFM:28289,0,0,0,1,0,0,1,20220303,20220327
IDFM:28306,1,1,1,0,1,0,0,20220301,20220330
IDFM:28352,1,1,1,0,1,1,0,20220301,20220330
IDFM:30187,0,1,1,1,1,1,1,20220301,20220330
IDFM:32220,1,1,0,1,1,1,0,20220307,20220329
IDFM:32455,1,1,0,1,1,1,0,20220301,20220329
IDFM:33023,1,1,1,1,1,0,0,20220314,20220330
IDFM:33024,1,1,1,1,1,0,0,20220307,20220311
IDFM:33133,1,1,1,1,1,1,0,20220314,20220330
IDFM:33175,1,1,1,1,1,1,0,20220307,20220312
IDFM:33214,0,0,1,0,0,0,0,20220316,20220330
IDFM:33220,0,0,1,0,0,0,0,20220309,20220309
IDFM:33288,0,1,0,1,0,1,1,20220308,20220329
IDFM:33295,0,1,0,1,0,0,0,20220308,20220329
IDFM:33353,0,1,0,0,1,0,1,20220308,20220329
IDFM:33412,0,0,0,0,0,1,1,20220319,20220327
IDFM:33438,0,0,0,0,0,1,1,20220312,20220313
IDFM:33929,0,0,1,0,0,1,0,20220316,20220330
IDFM:33931,1,1,0,1,1,0,0,20220314,20220329
IDFM:33932,0,0,1,0,0,1,0,20220309,20220312
IDFM:33934,1,1,0,1,1,0,0,20220307,20220311
IDFM:45543,1,0,1,1,1,0,0,20220307,20220330
IDFM:58483,1,0,0,1,0,0,0,20220307,20220328
IDFM:94678,1,0,0,0,0,0,0,20220301,20220328
IDFM:98831,0,0,0,0,0,0,1,20220301,20220327
IDFM:98837,0,0,0,0,0,0,1,20220301,20220327
IDFM:100000,0,0,0,0,0,1,0,20220305,20220305
IDFM:100073,0,0,0,0,0,0,1,20220306,20220306
IDFM:100216,0,1,1,1,1,1,0,20220301,20220305
IDFM:100218,1,0,0,0,0,0,0,20220307,20220307
IDFM:100220,0,1,1,1,1,1,0,20220308,20220330
IDFM:100222,1,0,0,0,0,0,0,20220314,20220328
IDFM:100224,0,0,0,0,0,1,0,20220312,20220326
IDFM:100352,0,0,0,0,0,0,1,20220313,20220327
IDFM:100783,1,1,1,1,1,1,0,20220305,20220330
IDFM:100997,0,0,0,0,0,0,1,20220306,20220327
IDFM:101089,0,1,1,1,1,1,0,20220301,20220330
IDFM:101093,1,0,0,0,0,0,0,20220307,20220328
IDFM:102401,0,0,0,0,0,0,1,20220313,20220313
IDFM:102477,0,1,1,1,0,0,0,20220301,20220303
IDFM:102546,0,0,0,0,0,0,1,20220320,20220327
IDFM:102630,1,0,0,0,0,0,0,20220314,20220314
IDFM:102902,1,0,0,0,0,0,0,20220321,20220328
IDFM:103298,0,0,0,0,0,0,1,20220306,20220327
IDFM:107167,0,0,1,1,1,1,0,20220302,20220305
IDFM:107452,0,1,0,0,0,0,0,20220301,20220301
IDFM:107954,0,1,1,1,1,0,0,20220308,20220330
IDFM:107962,0,0,1,1,1,1,0,20220309,20220330
IDFM:107965,0,1,0,0,0,0,0,20220308,20220329
IDFM:108647,0,1,1,1,1,0,0,20220301,20220330
IDFM:113943,0,0,0,0,1,0,0,20220304,20220304
IDFM:113961,0,0,0,0,1,0,0,20220311,20220325
IDFM:113989,1,1,1,1,0,0,0,20220307,20220330
IDFM:116249,0,0,1,1,1,1,0,20220302,20220330
IDFM:116251,0,1,0,0,0,0,0,20220301,20220329
IDFM:120182,1,1,1,1,1,0,0,20220301,20220330
IDFM:120647,0,1,1,1,1,1,1,20220301,20220306
IDFM:125258,0,1,1,1,1,1,1,20220308,20220330
IDFM:125268,0,1,1,1,1,0,1,20220301,20220306
IDFM:138912,0,0,1,0,0,0,0,20220302,20220302
IDFM:140145,0,1,1,0,1,1,0,20220308,20220330
IDFM:140157,0,0,0,1,0,0,0,20220310,20220324
IDFM:140163,0,0,0,1,0,0,0,20220303,20220303
IDFM:140166,0,1,1,0,1,1,0,20220301,20220305
IDFM:140508,0,1,0,1,1,0,0,20220301,20220304
IDFM:140721,0,0,0,0,1,0,0,20220301,20220325
IDFM:140860,0,0,0,0,0,1,0,20220301,20220326
IDFM:140952,0,0,0,0,0,1,1,20220306,20220327
IDFM:140958,0,1,1,1,1,1,1,20220306,20220330
IDFM:140959,1,0,0,0,0,0,0,20220301,20220328
IDFM:140961,1,0,0,0,0,0,0,20220301,20220328
IDFM:140965,0,0,0,0,0,0,1,20220301,20220327
IDFM:140976,0,0,0,0,0,0,1,20220305,20220327
IDFM:140978,0,0,0,0,0,0,1,20220301,20220327
IDFM:143252,0,0,1,0,0,0,0,20220302,20220330
IDFM:143356,1,1,0,1,1,0,0,20220301,20220329
IDFM:143405,1,1,1,1,0,0,0,20220301,20220330
IDFM:143432,0,0,0,1,0,0,0,20220303,20220324
IDFM:143433,0,1,1,0,1,1,0,20220301,20220330
IDFM:143444,1,1,0,1,0,0,0,20220301,20220329
IDFM:143585,0,1,1,0,1,0,0,20220301,20220330
IDFM:145467,1,0,0,0,0,1,1,20220306,20220328
IDFM:145557,0,0,1,0,1,0,0,20220309,20220330
IDFM:145914,1,0,0,0,0,0,1,20220306,20220328
