pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
IDFM:StopPlaceEntrance:50171335:IDFM:monomodalStopPlace:43109,IDFM:StopPlaceEntrance:50171335,IDFM:monomodalStopPlace:43109,1,1,90.91,115,,,,,
IDFM:StopPlaceEntrance:50171332:IDFM:monomodalStopPlace:47533,IDFM:StopPlaceEntrance:50171332,IDFM:monomodalStopPlace:47533,1,1,119.74,152,,,,,
IDFM:StopPlaceEntrance:50171331:IDFM:monomodalStopPlace:43090,IDFM:StopPlaceEntrance:50171331,IDFM:monomodalStopPlace:43090,1,1,93.94,119,,,,,
IDFM:StopPlaceEntrance:50171330:IDFM:monomodalStopPlace:47533,IDFM:StopPlaceEntrance:50171330,IDFM:monomodalStopPlace:47533,1,1,118.91,151,,,,,
IDFM:StopPlaceEntrance:50171328:IDFM:monomodalStopPlace:47447,IDFM:StopPlaceEntrance:50171328,IDFM:monomodalStopPlace:47447,1,1,96.28,122,,,,,
IDFM:StopPlaceEntrance:50171327:IDFM:monomodalStopPlace:46568,IDFM:StopPlaceEntrance:50171327,IDFM:monomodalStopPlace:46568,1,1,118.29,150,,,,,
IDFM:StopPlaceEntrance:50171326:IDFM:monomodalStopPlace:45739,IDFM:StopPlaceEntrance:50171326,IDFM:monomodalStopPlace:45739,1,1,77.32,98,,,,,
IDFM:StopPlaceEntrance:50171325:IDFM:monomodalStopPlace:43112,IDFM:StopPlaceEntrance:50171325,IDFM:monomodalStopPlace:43112,1,1,191.76,244,,,,,
IDFM:StopPlaceEntrance:50171324:IDFM:monomodalStopPlace:46286,IDFM:StopPlaceEntrance:50171324,IDFM:monomodalStopPlace:46286,1,1,89.31,113,,,,,
IDFM:StopPlaceEntrance:50171323:IDFM:monomodalStopPlace:47959,IDFM:StopPlaceEntrance:50171323,IDFM:monomodalStopPlace:47959,1,1,22.81,29,,,,,
IDFM:StopPlaceEntrance:50171322:IDFM:monomodalStopPlace:45820,IDFM:StopPlaceEntrance:50171322,IDFM:monomodalStopPlace:45820,1,1,27.1,34,,,,,
IDFM:StopPlaceEntrance:50171321:IDFM:monomodalStopPlace:43216,IDFM:StopPlaceEntrance:50171321,IDFM:monomodalStopPlace:43216,1,1,58.55,74,,,,,
IDFM:StopPlaceEntrance:50171320:IDFM:monomodalStopPlace:47966,IDFM:StopPlaceEntrance:50171320,IDFM:monomodalStopPlace:47966,1,1,49.06,62,,,,,
IDFM:StopPlaceEntrance:50171319:IDFM:471264,IDFM:StopPlaceEntrance:50171319,IDFM:471264,1,1,128.84,164,,,,,
IDFM:StopPlaceEntrance:50171319:IDFM:472093,IDFM:StopPlaceEntrance:50171319,IDFM:472093,1,1,60.26,76,,,,,
IDFM:StopPlaceEntrance:50171316:IDFM:monomodalStopPlace:43108,IDFM:StopPlaceEntrance:50171316,IDFM:monomodalStopPlace:43108,1,1,126.23,160,,,,,
IDFM:StopPlaceEntrance:50171315:IDFM:monomodalStopPlace:47961,IDFM:StopPlaceEntrance:50171315,IDFM:monomodalStopPlace:47961,1,1,9.46,12,,,,,
IDFM:StopPlaceEntrance:50171314:IDFM:monomodalStopPlace:47961,IDFM:StopPlaceEntrance:50171314,IDFM:monomodalStopPlace:47961,1,1,23.45,29,,,,,
IDFM:StopPlaceEntrance:50171312:IDFM:472644,IDFM:StopPlaceEntrance:50171312,IDFM:472644,1,1,42.52,54,,,,,
IDFM:StopPlaceEntrance:50171312:IDFM:monomodalStopPlace:43096,IDFM:StopPlaceEntrance:50171312,IDFM:monomodalStopPlace:43096,1,1,48.43,61,,,,,
IDFM:StopPlaceEntrance:50171311:IDFM:472644,IDFM:StopPlaceEntrance:50171311,IDFM:472644,1,1,79.09,100,,,,,
IDFM:StopPlaceEntrance:50171311:IDFM:monomodalStopPlace:43096,IDFM:StopPlaceEntrance:50171311,IDFM:monomodalStopPlace:43096,1,1,40.87,52,,,,,
IDFM:StopPlaceEntrance:50171310:IDFM:472644,IDFM:StopPlaceEntrance:50171310,IDFM:472644,1,1,63.45,80,,,,,
IDFM:StopPlaceEntrance:50171310:IDFM:monomodalStopPlace:43096,IDFM:StopPlaceEntrance:50171310,IDFM:monomodalStopPlace:43096,1,1,28.53,36,,,,,
IDFM:StopPlaceEntrance:50171309:IDFM:monomodalStopPlace:43078,IDFM:StopPlaceEntrance:50171309,IDFM:monomodalStopPlace:43078,1,1,50,63,,,,,
IDFM:StopPlaceEntrance:50171308:IDFM:monomodalStopPlace:43078,IDFM:StopPlaceEntrance:50171308,IDFM:monomodalStopPlace:43078,1,1,41.07,52,,,,,
IDFM:StopPlaceEntrance:50171307:IDFM:monomodalStopPlace:43078,IDFM:StopPlaceEntrance:50171307,IDFM:monomodalStopPlace:43078,1,1,25.53,32,,,,,
IDFM:StopPlaceEntrance:50171306:IDFM:471264,IDFM:StopPlaceEntrance:50171306,IDFM:471264,1,1,129.89,165,,,,,
IDFM:StopPlaceEntrance:50171306:IDFM:472093,IDFM:StopPlaceEntrance:50171306,IDFM:472093,1,1,59.87,76,,,,,
IDFM:StopPlaceEntrance:50171305:IDFM:monomodalStopPlace:43132,IDFM:StopPlaceEntrance:50171305,IDFM:monomodalStopPlace:43132,1,1,179.76,228,,,,,
IDFM:StopPlaceEntrance:50171304:IDFM:471056,IDFM:StopPlaceEntrance:50171304,IDFM:471056,1,1,20.87,26,,,,,
